nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x,Relbow_y,Rwrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,class
0.26,0.41,0.26,0.48,0.23,0.48,0.21,0.41,0.23,0.33,0.29,0.48,0.32,0.41,0.29,0.33,0.26,0.67,0.26,0.83,0.26,0.98,0.29,0.67,0.31,0.83,0.32,0.96,0.24,0.39,0.27,0.39,0.23,0.41,0.28,0.39,1
0.34,0.46,0.34,0.52,0.31,0.52,0.29,0.61,0.31,0.7,0.38,0.52,0.39,0.61,0.38,0.7,0.33,0.7,0.33,0.85,0.34,0.96,0.37,0.7,0.37,0.83,0.38,0.96,0.34,0.44,0.34,0.44,0.33,0.46,0.35,0.46,0
0.34,0.46,0.34,0.52,0.31,0.52,0.31,0.63,0.34,0.67,0.37,0.52,0.38,0.61,0.35,0.67,0.32,0.7,0.33,0.85,0.34,0.98,0.37,0.7,0.37,0.83,0.38,0.96,0.33,0.44,0.34,0.44,0.32,0.46,0.35,0.46,0
0.45,0.39,0.45,0.46,0.42,0.48,0.4,0.57,0.4,0.65,0.48,0.46,0.51,0.39,0.52,0.31,0.44,0.65,0.45,0.81,0.45,0.91,0.49,0.65,0.5,0.78,0.51,0.89,0.44,0.39,0.45,0.39,0.43,0.39,0.46,0.39,1
0.56,0.39,0.55,0.46,0.52,0.46,0.51,0.57,0.51,0.65,0.59,0.46,0.62,0.41,0.6,0.35,0.54,0.65,0.54,0.81,0.54,0.91,0.59,0.65,0.59,0.81,0.6,0.91,0.55,0.37,0.56,0.37,0.54,0.39,0.57,0.39,1
0.5,0.39,0.5,0.46,0.46,0.46,0.43,0.41,0.4,0.35,0.52,0.46,0.57,0.41,0.59,0.35,0.48,0.63,0.48,0.78,0.48,0.89,0.52,0.63,0.52,0.78,0.51,0.89,0.49,0.39,0.5,0.39,0.48,0.39,0.51,0.39,1
0.26,0.41,0.26,0.48,0.22,0.48,0.18,0.44,0.2,0.35,0.28,0.48,0.33,0.44,0.33,0.35,0.24,0.67,0.24,0.83,0.26,0.98,0.28,0.67,0.29,0.83,0.29,0.96,0.24,0.39,0.26,0.39,0.23,0.41,0.27,0.41,1
0.55,0.46,0.55,0.52,0.52,0.52,0.51,0.61,0.52,0.67,0.59,0.52,0.59,0.59,0.59,0.67,0.54,0.67,0.54,0.81,0.52,0.89,0.57,0.67,0.57,0.81,0.59,0.89,0.55,0.44,0.56,0.44,0.54,0.46,0.57,0.46,0
0.5,0.39,0.51,0.46,0.48,0.46,0.44,0.41,0.43,0.33,0.54,0.46,0.55,0.54,0.55,0.63,0.49,0.63,0.49,0.78,0.48,0.89,0.52,0.63,0.52,0.76,0.51,0.89,0.5,0.39,0.5,0.39,0.49,0.39,0.51,0.39,1
0.34,0.46,0.34,0.52,0.31,0.52,0.28,0.61,0.29,0.67,0.37,0.52,0.38,0.61,0.38,0.67,0.32,0.7,0.33,0.85,0.34,0.98,0.37,0.7,0.37,0.83,0.38,0.96,0.34,0.44,0.34,0.44,0.32,0.46,0.35,0.46,0
